date,year,interest_rate_mtg_data_weekly,cpi_data_monthly,cpi_fesl_data_monthly,rec_sahm_data_monthly,rec_smooth_prob_data_monthly,rec_nber_data_monthly,unemployment_data_monthly,unemployment_level_data_monthly,all_employed_data_monthly,employment_population_ratio_data_monthly,labor_force_participation_data_monthly,m1_data_monthly,m2_data_monthly,m2_real_data_monthly,interest_rate_fedfunds_data_monthly,consumer_sentiment_data_monthly,consumer_sentiment_inflation_data_monthly,consumer_sentiment_composite_data_monthly,consumer_sentiment_composite_amplitude_data_monthly,job_openings_data_monthly,job_hires_data_monthly,job_separations_data_monthly,average_weekly_earnings_data_monthly,gdp_data_quarterly,gdp_real_data_quarterly,cpi_inflation_data_annual,median_income_real_data_annual,median_income_data_annual
1960-01-01,1960,,29.584999999999997,30.641666666666666,0.4658333333333333,,0.6666666666666666,5.541666666666667,3874.1666666666665,54293.916666666664,56.1,59.416666666666664,140.30833333333334,304.28333333333336,1028.45,3.2158333333333338,95.15,,101.6228775,101.015675,,,,,542.38225,3500.2725,1.45797598627791,,
1961-01-01,1961,,29.901666666666667,31.0,1.2491666666666668,,0.16666666666666666,6.691666666666666,4705.666666666667,54102.833333333336,55.36666666666667,59.324999999999996,143.04999999999998,324.8333333333333,1086.3083333333334,1.955,94.075,,101.96359749999999,101.058175,,,,,562.20975,3590.06625,1.07072414764724,,
1962-01-01,1962,,30.253333333333334,31.400000000000002,0.012499999999999997,,0.0,5.566666666666666,3917.75,55659.583333333336,55.50833333333333,58.76666666666667,146.49166666666667,350.09999999999997,1157.1499999999999,2.7083333333333335,95.475,,102.59124083333334,101.11446666666666,,,,,603.9215,3810.1232499999996,1.19877334820186,,
1963-01-01,1963,,30.633333333333336,31.808333333333334,0.205,,0.0,5.641666666666667,4052.6666666666665,56766.75,55.35,58.65833333333333,150.95833333333334,379.60833333333335,1239.0916666666667,3.1783333333333332,95.22500000000001,,102.55537833333334,101.11654166666666,,,,,637.4515,3976.14175,1.23966942148753,,
1964-01-01,1964,,31.03833333333333,32.300000000000004,-0.015833333333333335,,0.0,5.158333333333333,3775.8333333333335,58394.416666666664,55.666666666666664,58.71666666666667,156.75,409.31666666666666,1318.6583333333333,3.4966666666666666,99.625,,107.41504166666668,101.64416666666666,,,,,684.4615,4205.27725,1.27891156462591,,
1965-01-01,1965,,31.528333333333332,32.733333333333334,-0.06416666666666666,,0.0,4.508333333333334,3353.6666666666665,60878.75,56.166666666666664,58.833333333333336,163.41666666666666,442.45,1403.2333333333333,4.075,103.42500000000001,,111.10016666666667,102.05160000000001,,,,,742.29025,4478.555249999999,1.58516926383662,,
1966-01-01,1966,,32.47083333333333,33.550000000000004,0.04666666666666667,,0.0,3.7916666666666665,2866.5833333333335,64025.0,56.925000000000004,59.15,170.96666666666667,471.375,1451.6833333333334,5.111666666666667,93.8,,100.39451666666668,100.88308333333333,,,,,813.41375,4773.93125,3.0150753768844,,
1967-01-01,1967,,33.375,34.708333333333336,0.19833333333333333,0.3514285714285714,0.0,3.841666666666667,2971.8333333333335,65935.41666666667,57.25833333333333,59.56666666666666,177.70000000000002,503.64166666666665,1508.7666666666667,4.22,94.975,,102.46569749999999,101.108225,,,,,859.95625,4904.86375,2.77278562259309,,
1968-01-01,1968,,34.791666666666664,36.324999999999996,0.014166666666666668,0.31833333333333336,0.0,3.5583333333333336,2797.4166666666665,68026.66666666667,57.50833333333333,59.625,190.07500000000002,545.3000000000001,1567.1333333333332,5.659166666666667,93.42500000000001,,100.60969833333333,100.90451666666667,,,,,940.6465000000001,5145.91425,4.27179615288537,,
1969-01-01,1969,,36.68333333333333,38.416666666666664,0.19833333333333333,9.198333333333332,0.0,3.4916666666666667,2830.1666666666665,70514.83333333333,57.96666666666667,60.074999999999996,201.39166666666665,578.725,1577.8416666666665,8.204166666666667,88.95,,93.90298583333333,100.1609825,,,,,1017.615,5306.5945,5.46238620028745,,
