filed_date,fiscal_year,form,fiscal_period,company,ticker,category,Assets,CommonStockSharesOutstanding,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueRemainingPerformanceObligation,StockholdersEquity,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,ContractWithCustomerLiabilityChangeInTimeframePerformanceObligationSatisfiedRevenueRecognized,OperatingLeasesIncomeStatementMinimumLeaseRevenue,Revenues
2024-11-06,2024,10-Q,Q3,Upwork,UPWK,gig,1037541000.0,137272754.0,3547000.0,656466000.0,29513000.0,-19688000.0,505202000.0,2500000.0,248879000.0,,,,
2025-02-13,2024,10-K,FY,Upwork,UPWK,gig,1037541000.0,137272754.0,536000.0,656466000.0,-89885000.0,-92624000.0,618318000.0,,259517000.0,,,,
2025-05-05,2025,10-Q,Q1,Upwork,UPWK,gig,1211613000.0,135348453.0,1329000.0,636236000.0,18442000.0,13049000.0,190937000.0,,381075000.0,,,,
2025-08-06,2025,10-Q,Q2,Upwork,UPWK,gig,1211613000.0,135348453.0,2510000.0,636236000.0,40662000.0,30830000.0,384066000.0,,381075000.0,,,,
2025-11-04,2025,10-Q,Q3,Upwork,UPWK,gig,1211613000.0,135348453.0,3636000.0,636236000.0,68420000.0,51623000.0,577842000.0,,381075000.0,,,,
2026-02-13,2025,10-K,FY,Upwork,UPWK,gig,1211613000.0,135348453.0,1990000.0,636236000.0,46887000.0,-11260000.0,689136000.0,,248879000.0,,,,
2019-06-04,2019,10-Q,Q1,Uber,UBER,gig,23988000000.0,457189000.0,576000000.0,17196000000.0,3748000000.0,-478000000.0,,126000000.0,-8557000000.0,,,,2584000000.0
2019-08-09,2019,10-Q,Q2,Uber,UBER,gig,23988000000.0,457189000.0,604000000.0,17196000000.0,3748000000.0,-1217000000.0,,113000000.0,-8557000000.0,,,,5352000000.0
2019-11-05,2019,10-Q,Q3,Uber,UBER,gig,23988000000.0,457189000.0,605000000.0,17196000000.0,1884000000.0,-478000000.0,2584000000.0,100000000.0,-7385000000.0,,,,8296000000.0
2020-03-02,2019,10-K,FY,Uber,UBER,gig,23988000000.0,457189000.0,-542000000.0,17196000000.0,-4033000000.0,-4080000000.0,,87000000.0,-7385000000.0,,52000000.0,345000000.0,7932000000.0
2020-05-08,2020,10-Q,Q1,Uber,UBER,gig,31761000000.0,1716681000.0,19000000.0,16578000000.0,-1012000000.0,-1034000000.0,,74000000.0,14190000000.0,,,,3099000000.0
2020-08-07,2020,10-Q,Q2,Uber,UBER,gig,31761000000.0,1716681000.0,17000000.0,16578000000.0,-6248000000.0,-6519000000.0,,,14190000000.0,,,,6265000000.0
2020-11-06,2020,10-Q,Q3,Uber,UBER,gig,31761000000.0,1716681000.0,20000000.0,16578000000.0,-7410000000.0,-7625000000.0,,,14190000000.0,,,,10078000000.0
2021-03-01,2020,10-K,FY,Uber,UBER,gig,31761000000.0,1716681000.0,283000000.0,16578000000.0,997000000.0,-3033000000.0,,,14190000000.0,,,151000000.0,10433000000.0
2021-05-06,2021,10-Q,Q1,Uber,UBER,gig,33252000000.0,1849794000.0,-242000000.0,19498000000.0,-2936000000.0,-1263000000.0,,220000000.0,12266000000.0,,,,3248000000.0
