ticker,date,filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,company,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares
DASH,2021-12-31,2022-03-01,2021,10-K,FY,-616000000.0,,,-616000000.0,-616000000.0,-616000000.0,,-616000000.0,-616000000.0,DASH,-616000000.0,0,1,0,1,1,0,1
DASH,2022-12-31,2023-02-27,2022,10-K,FY,-436000000.0,,,-436000000.0,-436000000.0,-436000000.0,,-436000000.0,-436000000.0,DASH,-436000000.0,0,1,0,1,1,0,1
DASH,2023-12-31,2024-02-20,2023,10-K,FY,-452000000.0,,,-452000000.0,-452000000.0,-452000000.0,,-452000000.0,-452000000.0,DASH,-452000000.0,0,1,0,1,1,0,1
DASH,2024-12-31,2025-02-14,2024,10-K,FY,-1124000000.0,,,-1124000000.0,-1124000000.0,-1124000000.0,,-1124000000.0,-1124000000.0,DASH,-1124000000.0,0,1,0,1,1,0,1
DASH,2025-12-31,2026-02-18,2025,10-K,FY,-579000000.0,,,-579000000.0,-579000000.0,-579000000.0,,-579000000.0,-579000000.0,DASH,-579000000.0,0,1,0,1,1,0,1
ETSY,2015-12-31,2016-03-01,2015,10-K,FY,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,ETSY,125022000.0,1,1,1,1,1,1,1
ETSY,2016-12-31,2017-02-28,2016,10-K,FY,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,ETSY,195591000.0,1,1,1,1,1,1,1
ETSY,2017-12-31,2018-03-01,2017,10-K,FY,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,ETSY,273499000.0,1,1,1,1,1,1,1
ETSY,2018-12-31,2019-02-28,2018,10-K,FY,241639000.0,241639000.0,241639000.0,241639000.0,241639000.0,241639000.0,241639000.0,241639000.0,241639000.0,ETSY,241639000.0,1,1,1,1,1,1,1
ETSY,2019-12-31,2020-02-27,2019,10-K,FY,290245000.0,290245000.0,290245000.0,290245000.0,290245000.0,290245000.0,290245000.0,290245000.0,290245000.0,ETSY,290245000.0,1,1,1,1,1,1,1
ETSY,2020-12-31,2021-02-26,2020,10-K,FY,412931000.0,412931000.0,412931000.0,412931000.0,412931000.0,412931000.0,412931000.0,412931000.0,412931000.0,ETSY,412931000.0,1,1,1,1,1,1,1
ETSY,2021-12-31,2022-02-25,2021,10-K,FY,547343000.0,547343000.0,547343000.0,547343000.0,547343000.0,547343000.0,547343000.0,547343000.0,547343000.0,ETSY,547343000.0,1,1,1,1,1,1,1
ETSY,2022-12-31,2023-02-23,2022,10-K,FY,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1260880000.0,ETSY,1260880000.0,1,1,1,1,1,1,1
ETSY,2023-12-31,2024-02-22,2023,10-K,FY,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1674602000.0,ETSY,1674602000.0,1,1,1,1,1,1,1
ETSY,2024-12-31,2025-02-19,2024,10-K,FY,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1821519000.0,ETSY,1821519000.0,1,1,1,1,1,1,1
ETSY,2025-12-31,2026-02-19,2025,10-K,FY,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1919702000.0,ETSY,1919702000.0,1,1,1,1,1,1,1
FVRR,2019-12-31,2020-03-31,2019,20-F,FY,52112000.0,52112000.0,52112000.0,52112000.0,52112000.0,52112000.0,52112000.0,52112000.0,52112000.0,FVRR,52112000.0,1,1,1,1,1,1,1
FVRR,2020-12-31,2021-02-18,2020,20-F,FY,75503000.0,75503000.0,75503000.0,75503000.0,75503000.0,75503000.0,75503000.0,75503000.0,75503000.0,FVRR,75503000.0,1,1,1,1,1,1,1
FVRR,2021-12-31,2022-02-17,2021,20-F,FY,107073000.0,107073000.0,107073000.0,107073000.0,107073000.0,107073000.0,107073000.0,107073000.0,107073000.0,FVRR,107073000.0,1,1,1,1,1,1,1
FVRR,2022-12-31,2023-03-30,2022,20-F,FY,189510000.0,189510000.0,189510000.0,189510000.0,189510000.0,189510000.0,189510000.0,189510000.0,189510000.0,FVRR,189510000.0,1,1,1,1,1,1,1
FVRR,2023-12-31,2024-02-22,2023,20-F,FY,297662000.0,297662000.0,297662000.0,297662000.0,297662000.0,297662000.0,297662000.0,297662000.0,297662000.0,FVRR,297662000.0,1,1,1,1,1,1,1
FVRR,2024-12-31,2025-02-19,2024,20-F,FY,337366000.0,337366000.0,337366000.0,337366000.0,337366000.0,337366000.0,337366000.0,337366000.0,337366000.0,FVRR,337366000.0,1,1,1,1,1,1,1
FVRR,2025-12-31,2026-03-12,2025,20-F,FY,361375000.0,361375000.0,361375000.0,361375000.0,361375000.0,361375000.0,361375000.0,361375000.0,361375000.0,FVRR,361375000.0,1,1,1,1,1,1,1
GRUB,2014-12-31,2015-03-05,2014,10-K,FY,7919000.0,7919000.0,,7919000.0,,7919000.0,,,7919000.0,GRUB,7919000.0,0,0,0,0,1,1,1
GRUB,2015-12-31,2016-02-26,2015,10-K,FY,6747000.0,6747000.0,,6747000.0,,6747000.0,,,6747000.0,GRUB,6747000.0,0,0,0,0,1,1,1
GRUB,2016-12-31,2017-02-28,2016,10-K,FY,24263000.0,24263000.0,,24263000.0,,24263000.0,,,24263000.0,GRUB,24263000.0,0,0,0,0,1,1,1
GRUB,2017-12-31,2018-02-28,2017,10-K,FY,61422000.0,61422000.0,,61422000.0,,61422000.0,,61422000.0,61422000.0,GRUB,61422000.0,0,1,0,0,1,1,1
GRUB,2018-12-31,2019-02-28,2018,10-K,FY,83123000.0,83123000.0,,83123000.0,,83123000.0,,83123000.0,83123000.0,GRUB,83123000.0,0,1,0,0,1,1,1
GRUB,2019-12-31,2020-02-28,2019,10-K,FY,89750000.0,89750000.0,,89750000.0,,89750000.0,,89750000.0,89750000.0,GRUB,89750000.0,0,1,0,0,1,1,1
GRUB,2020-12-31,2021-03-01,2020,10-K,FY,84963000.0,84963000.0,,84963000.0,,84963000.0,,84963000.0,84963000.0,GRUB,84963000.0,0,1,0,0,1,1,1
HLF,2010-12-31,2011-02-22,2010,10-K,FY,1900817000.0,1900817000.0,1900817000.0,1900817000.0,1900817000.0,1900817000.0,,1900817000.0,1900817000.0,HLF,1900817000.0,1,1,0,1,1,1,1
HLF,2011-12-31,2012-02-21,2011,10-K,FY,1831443000.0,1831443000.0,1831443000.0,1831443000.0,1831443000.0,1831443000.0,,1831443000.0,1831443000.0,HLF,1831443000.0,1,1,0,1,1,1,1
HLF,2012-12-31,2013-02-19,2012,10-K,FY,2175415000.0,2175415000.0,2175415000.0,2175415000.0,2175415000.0,2175415000.0,,2175415000.0,2175415000.0,HLF,2175415000.0,1,1,0,1,1,1,1
HLF,2013-12-31,2014-02-18,2013,10-K,FY,2774453000.0,2774453000.0,2774453000.0,2774453000.0,2774453000.0,2774453000.0,,2774453000.0,2774453000.0,HLF,2774453000.0,1,1,0,1,1,1,1
HLF,2014-12-31,2015-02-26,2014,10-K,FY,3259700000.0,3259700000.0,3259700000.0,3259700000.0,3259700000.0,3259700000.0,,3259700000.0,3259700000.0,HLF,3259700000.0,1,1,0,1,1,1,1
HLF,2015-12-31,2016-02-25,2015,10-K,FY,3861900000.0,3861900000.0,3861900000.0,3861900000.0,3861900000.0,3861900000.0,,3861900000.0,3861900000.0,HLF,3861900000.0,1,1,0,1,1,1,1
HLF,2016-12-31,2017-02-23,2016,10-K,FY,3975700000.0,3975700000.0,3975700000.0,3975700000.0,3975700000.0,3975700000.0,,3975700000.0,3975700000.0,HLF,3975700000.0,1,1,0,1,1,1,1
HLF,2017-12-31,2018-02-22,2017,10-K,FY,3613000000.0,3613000000.0,3613000000.0,3613000000.0,3613000000.0,3613000000.0,,3613000000.0,3613000000.0,HLF,3613000000.0,1,1,0,1,1,1,1
HLF,2018-12-31,2019-02-19,2018,10-K,FY,3633800000.0,3633800000.0,3633800000.0,3633800000.0,3633800000.0,3633800000.0,,3633800000.0,3633800000.0,HLF,3633800000.0,1,1,0,1,1,1,1
HLF,2019-12-31,2020-02-18,2019,10-K,FY,3579100000.0,3579100000.0,3579100000.0,3579100000.0,3579100000.0,3579100000.0,,3579100000.0,3579100000.0,HLF,3579100000.0,1,1,0,1,1,1,1
HLF,2020-12-31,2021-02-17,2020,10-K,FY,3972500000.0,3972500000.0,3972500000.0,3972500000.0,3972500000.0,3972500000.0,,3972500000.0,3972500000.0,HLF,3972500000.0,1,1,0,1,1,1,1
HLF,2021-12-31,2022-02-23,2021,10-K,FY,3919100000.0,3919100000.0,3919100000.0,3919100000.0,3919100000.0,3919100000.0,,3919100000.0,3919100000.0,HLF,3919100000.0,1,1,0,1,1,1,1
HLF,2022-12-31,2023-02-14,2022,10-K,FY,4391200000.0,4391200000.0,4391200000.0,4391200000.0,4391200000.0,4391200000.0,,4391200000.0,4391200000.0,HLF,4391200000.0,1,1,0,1,1,1,1
HLF,2023-12-31,2024-02-14,2023,10-K,FY,4563500000.0,4563500000.0,4563500000.0,4563500000.0,4563500000.0,4563500000.0,,4563500000.0,4563500000.0,HLF,4563500000.0,1,1,0,1,1,1,1
HLF,2024-12-31,2025-02-19,2024,10-K,FY,4030800000.0,4030800000.0,4030800000.0,4030800000.0,4030800000.0,4030800000.0,,4030800000.0,4030800000.0,HLF,4030800000.0,1,1,0,1,1,1,1
