filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,WeightedAverageNumberOfSharesOutstandingBasic,ticker,OperatingExpenses
2019-10-25,2019,10-Q,Q3,36500000000.0,,6.61,26652000000.0,4002000000.0,24820000000.0,24820000000.0,591100000.0,MMM,
2020-02-06,2019,10-K,FY,37987000000.0,576575168.0,7.93,26652000000.0,4858000000.0,8278000000.0,31657000000.0,597500000.0,MMM,
2020-04-28,2020,10-Q,Q1,44659000000.0,575184835.0,1.51,34533000000.0,891000000.0,7863000000.0,7863000000.0,577500000.0,MMM,
2020-07-28,2020,10-Q,Q2,44659000000.0,575184835.0,3.44,34533000000.0,2018000000.0,16034000000.0,16034000000.0,577600000.0,MMM,
2020-10-27,2020,10-Q,Q3,44659000000.0,575184835.0,6.15,34533000000.0,3601000000.0,24025000000.0,24025000000.0,577200000.0,MMM,
2021-02-04,2020,10-K,FY,44659000000.0,575184835.0,8.89,34533000000.0,5349000000.0,32765000000.0,32765000000.0,588500000.0,MMM,
2021-04-27,2021,10-Q,Q1,47344000000.0,577749638.0,2.25,34413000000.0,1308000000.0,8075000000.0,8075000000.0,576800000.0,MMM,
2021-07-27,2021,10-Q,Q2,47344000000.0,577749638.0,4.5,34413000000.0,2614000000.0,15251000000.0,15251000000.0,576900000.0,MMM,
2021-10-26,2021,10-Q,Q3,47344000000.0,577749638.0,6.95,34413000000.0,4044000000.0,,23601000000.0,577200000.0,MMM,
2022-02-09,2021,10-K,FY,47344000000.0,577749638.0,7.72,34413000000.0,4517000000.0,32136000000.0,32136000000.0,577000000.0,MMM,
2022-04-26,2022,10-Q,Q1,47072000000.0,571845478.0,2.77,31955000000.0,1624000000.0,,8851000000.0,580500000.0,MMM,
2022-07-27,2022,10-Q,Q2,47072000000.0,571845478.0,5.36,31955000000.0,3148000000.0,,17801000000.0,580700000.0,MMM,
2022-10-25,2022,10-Q,Q3,47072000000.0,571845478.0,7.81,31955000000.0,4582000000.0,,26743000000.0,580300000.0,MMM,
2023-02-08,2022,10-K,FY,47072000000.0,571845478.0,9.36,31955000000.0,5449000000.0,32184000000.0,32184000000.0,577600000.0,MMM,
2023-04-25,2023,10-Q,Q1,46455000000.0,549245105.0,2.26,31685000000.0,1299000000.0,,8829000000.0,572300000.0,MMM,
2023-07-25,2023,10-Q,Q2,46455000000.0,549245105.0,2.4,31685000000.0,1377000000.0,,17531000000.0,571600000.0,MMM,
2023-10-24,2023,10-Q,Q3,46455000000.0,549245105.0,9.15,31685000000.0,5236000000.0,,26150000000.0,570700000.0,MMM,
2024-02-07,2023,10-K,FY,46455000000.0,549245105.0,10.12,31685000000.0,5921000000.0,,35355000000.0,579000000.0,MMM,
2024-04-30,2024,10-Q,Q1,50580000000.0,552581136.0,1.76,45712000000.0,976000000.0,,8031000000.0,552700000.0,MMM,
2024-07-26,2024,10-Q,Q2,50580000000.0,552581136.0,-10.6,45712000000.0,-5865000000.0,12338000000.0,12338000000.0,553300000.0,MMM,
2024-10-22,2024,10-Q,Q3,50580000000.0,552581136.0,-14.34,45712000000.0,-7940000000.0,18608000000.0,18608000000.0,553700000.0,MMM,
2025-02-05,2024,10-K,FY,50580000000.0,552581136.0,10.18,45712000000.0,5777000000.0,26161000000.0,26161000000.0,566000000.0,MMM,
2025-04-22,2025,10-Q,Q1,39868000000.0,539470303.0,1.67,35974000000.0,928000000.0,6016000000.0,6016000000.0,555000000.0,MMM,
2025-07-18,2025,10-Q,Q2,39868000000.0,539470303.0,3.73,35974000000.0,2073000000.0,12271000000.0,12271000000.0,554400000.0,MMM,
2025-10-21,2025,10-Q,Q3,39868000000.0,539470303.0,6.21,35974000000.0,3445000000.0,18565000000.0,18565000000.0,553100000.0,MMM,
2026-02-03,2025,10-K,FY,39868000000.0,539470303.0,-12.63,35974000000.0,-6995000000.0,24610000000.0,24610000000.0,553900000.0,MMM,
2010-08-04,2010,10-Q,Q2,1901300000.0,,1.38,1111500000.0,24000000.0,,,,AOS,
2010-11-04,2010,10-Q,Q3,1901300000.0,,2.69,1111500000.0,58600000.0,,,,AOS,
2011-02-24,2010,10-K,FY,1974500000.0,,1.53,1184700000.0,21700000.0,,,,AOS,
