filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,OperatingExpenses,RevenueFromContractWithCustomerExcludingAssessedTax,WeightedAverageNumberOfSharesOutstandingBasic,ticker,Revenues
2025-02-13,2024,10-K,FY,1037541000.0,137272754.0,-0.69,656466000.0,-89885000.0,550540000.0,618318000.0,130517920.0,UPWK,
2025-05-05,2025,10-Q,Q1,1211613000.0,135348453.0,0.13,636236000.0,18442000.0,133695000.0,190937000.0,136356961.0,UPWK,
2025-08-06,2025,10-Q,Q2,1211613000.0,135348453.0,0.3,636236000.0,40662000.0,265191000.0,384066000.0,133808901.0,UPWK,
2025-11-04,2025,10-Q,Q3,1211613000.0,135348453.0,0.5,636236000.0,68420000.0,394766000.0,577842000.0,133404102.0,UPWK,
2026-02-13,2025,10-K,FY,1211613000.0,135348453.0,0.06,636236000.0,46887000.0,529946000.0,689136000.0,134774189.0,UPWK,
2020-03-31,2019,20-F,FY,111030000.0,7063458.0,,57056000.0,-19324000.0,58273000.0,,,FVRR,52112000.0
2021-02-18,2020,20-F,FY,236360000.0,31937772.0,,87551000.0,-36061000.0,96351000.0,,,FVRR,75503000.0
2022-02-17,2021,20-F,FY,861202000.0,35842980.0,,515799000.0,-33539000.0,119599000.0,,,FVRR,107073000.0
2023-03-30,2022,20-F,FY,931570000.0,36761108.0,-0.46,584702000.0,-14810000.0,168132000.0,,32323636.0,FVRR,189510000.0
2024-02-22,2023,20-F,FY,923802000.0,37537563.0,-1.81,658070000.0,-65012000.0,291279000.0,,35955014.0,FVRR,297662000.0
2025-02-19,2024,20-F,FY,1023604000.0,38653958.0,-1.94,667830000.0,-71487000.0,345952000.0,,36856140.0,FVRR,337366000.0
2025-07-30,2025,6-K,Q2,1069974000.0,35844114.0,0.1,707324000.0,4055000.0,163179000.0,,38422605.0,FVRR,188187000.0
2026-03-12,2025,20-F,FY,1069974000.0,35844114.0,0.09,707324000.0,3681000.0,314638000.0,,38066203.0,FVRR,361375000.0
2019-06-04,2019,10-Q,Q1,23988000000.0,457189000.0,1.84,17196000000.0,3748000000.0,,,437065000.0,UBER,2584000000.0
2019-08-09,2019,10-Q,Q2,23988000000.0,457189000.0,1.2,17196000000.0,3748000000.0,,,439022000.0,UBER,5352000000.0
2019-11-05,2019,10-Q,Q3,23988000000.0,457189000.0,0.52,17196000000.0,1884000000.0,,2584000000.0,441301000.0,UBER,8296000000.0
2020-03-02,2019,10-K,FY,23988000000.0,457189000.0,-9.46,17196000000.0,-4033000000.0,,,426360000.0,UBER,7932000000.0
2020-05-08,2020,10-Q,Q1,31761000000.0,1716681000.0,-2.26,16578000000.0,-1012000000.0,,,453543000.0,UBER,3099000000.0
2020-08-07,2020,10-Q,Q2,31761000000.0,1716681000.0,-7.98,16578000000.0,-6248000000.0,,,783900000.0,UBER,6265000000.0
2020-11-06,2020,10-Q,Q3,31761000000.0,1716681000.0,-6.79,16578000000.0,-7410000000.0,,,1092241000.0,UBER,10078000000.0
2021-03-01,2020,10-K,FY,31761000000.0,1716681000.0,0.0,16578000000.0,997000000.0,,,443368000.0,UBER,10433000000.0
2021-05-06,2021,10-Q,Q1,33252000000.0,1849794000.0,-1.7,19498000000.0,-2936000000.0,,,1724367000.0,UBER,3248000000.0
2021-08-05,2021,10-Q,Q2,33252000000.0,1849794000.0,-2.72,19498000000.0,-4711000000.0,,,1731632000.0,UBER,5161000000.0
2021-11-09,2021,10-Q,Q3,33252000000.0,1849794000.0,-3.33,19498000000.0,-5799000000.0,,,1739488000.0,UBER,7974000000.0
2022-02-24,2021,10-K,FY,33252000000.0,1849794000.0,-6.81,19498000000.0,-8506000000.0,,,1248353000.0,UBER,13000000000.0
2022-05-05,2022,10-Q,Q1,38774000000.0,1949316000.0,-0.06,23425000000.0,-108000000.0,,,1858525000.0,UBER,2903000000.0
2022-08-04,2022,10-Q,Q2,38774000000.0,1949316000.0,0.52,23425000000.0,1036000000.0,,,1866830000.0,UBER,6832000000.0
2022-11-02,2022,10-Q,Q3,38774000000.0,1949316000.0,-0.75,23425000000.0,-1388000000.0,,,1877655000.0,UBER,11677000000.0
2023-02-21,2022,10-K,FY,38774000000.0,1949316000.0,-3.86,23425000000.0,-6768000000.0,,,1752960000.0,UBER,11139000000.0
2023-05-03,2023,10-Q,Q1,32109000000.0,2005486000.0,-3.04,23605000000.0,-5930000000.0,,,1953989000.0,UBER,6854000000.0
2023-08-02,2023,10-Q,Q2,32109000000.0,2005486000.0,-4.37,23605000000.0,-8530000000.0,,,1957127000.0,UBER,14927000000.0
2023-11-07,2023,10-Q,Q3,32109000000.0,2005486000.0,-4.97,23605000000.0,-9736000000.0,,,1964483000.0,UBER,23270000000.0
2024-02-15,2023,10-K,FY,32109000000.0,2005486000.0,-0.29,23605000000.0,-496000000.0,,,1892546000.0,UBER,17455000000.0
2024-05-08,2024,10-Q,Q1,38699000000.0,2071144000.0,-0.08,26017000000.0,-157000000.0,,,2009557000.0,UBER,8823000000.0
2024-08-06,2024,10-Q,Q2,38699000000.0,2071144000.0,0.1,26017000000.0,237000000.0,,,2018233000.0,UBER,18053000000.0
2024-10-31,2024,10-Q,Q3,38699000000.0,2071144000.0,0.2,26017000000.0,458000000.0,,,2027148000.0,UBER,27345000000.0
2025-02-14,2024,10-K,FY,38699000000.0,2071144000.0,-4.65,26017000000.0,-9141000000.0,,,1972131000.0,UBER,31877000000.0
2025-05-07,2025,10-Q,Q1,51244000000.0,2107953000.0,-0.32,28768000000.0,-654000000.0,,,2078467000.0,UBER,10131000000.0
2025-08-06,2025,10-Q,Q2,51244000000.0,2107953000.0,0.15,28768000000.0,361000000.0,,,2085324000.0,UBER,20831000000.0
2025-11-04,2025,10-Q,Q3,51244000000.0,2107953000.0,1.36,28768000000.0,2973000000.0,,,2090809000.0,UBER,32019000000.0
2026-02-13,2025,10-K,FY,51244000000.0,2107953000.0,0.87,28768000000.0,1887000000.0,,,2035651000.0,UBER,37281000000.0
2019-05-14,2019,10-Q,Q1,3760043000.0,22438472.0,,1479277000.0,-234339000.0,,397188000.0,,LYFT,
2019-08-13,2019,10-Q,Q2,3760043000.0,22438472.0,,1479277000.0,-234339000.0,,902100000.0,,LYFT,
2019-11-04,2019,10-Q,Q3,3760043000.0,22438472.0,,1479277000.0,-234339000.0,,1487051000.0,,LYFT,
2020-02-28,2019,10-K,FY,3760043000.0,22438472.0,,1479277000.0,-688301000.0,,1059881000.0,,LYFT,
2020-05-08,2020,10-Q,Q1,5691383000.0,,,2837299000.0,-1138473000.0,,755894000.0,,LYFT,776027000.0
2020-08-13,2020,10-Q,Q2,5691383000.0,,,2837299000.0,-1138473000.0,,1583372000.0,,LYFT,1643292000.0
2020-11-12,2020,10-Q,Q3,5691383000.0,,,2837299000.0,-1138473000.0,,2492498000.0,,LYFT,2598890000.0
2021-03-01,2020,10-K,FY,5691383000.0,,,2837299000.0,-911335000.0,,2106021000.0,,LYFT,2156616000.0
2021-05-06,2021,10-Q,Q1,4678964000.0,,-1.31,3002801000.0,-398073000.0,,918331000.0,304502000.0,LYFT,955712000.0
2021-08-05,2021,10-Q,Q2,4678964000.0,,-2.72,3002801000.0,-398073000.0,,1230680000.0,306857000.0,LYFT,1295057000.0
2021-11-04,2021,10-Q,Q3,4678964000.0,,-4.18,3002801000.0,-398073000.0,,1681239000.0,309433000.0,LYFT,1794801000.0
2022-02-28,2021,10-K,FY,4678964000.0,,-11.44,3002801000.0,-2602241000.0,,3465473000.0,227498000.0,LYFT,3615960000.0
2022-05-10,2022,10-Q,Q1,4773884000.0,,-1.31,3432671000.0,-427339000.0,,568790000.0,326165000.0,LYFT,608960000.0
2022-08-05,2022,10-Q,Q2,4773884000.0,,-2.06,3432671000.0,-427339000.0,,1265688000.0,329149000.0,LYFT,1373985000.0
2022-11-08,2022,10-Q,Q3,4824268000.0,,-2.35,3368369000.0,-427339000.0,,2049756000.0,332049000.0,LYFT,2238390000.0
2023-02-27,2022,10-K,FY,4773884000.0,,-5.61,3432671000.0,-1752857000.0,,2208656000.0,312175000.0,LYFT,2364681000.0
