date,quarter,year,interest_rate_mtg_data_weekly,cpi_data_monthly,cpi_fesl_data_monthly,rec_sahm_data_monthly,rec_smooth_prob_data_monthly,rec_nber_data_monthly,unemployment_data_monthly,unemployment_level_data_monthly,all_employed_data_monthly,employment_population_ratio_data_monthly,labor_force_participation_data_monthly,m1_data_monthly,m2_data_monthly,m2_real_data_monthly,interest_rate_fedfunds_data_monthly,consumer_sentiment_data_monthly,consumer_sentiment_inflation_data_monthly,consumer_sentiment_composite_data_monthly,consumer_sentiment_composite_amplitude_data_monthly,job_openings_data_monthly,job_hires_data_monthly,job_separations_data_monthly,average_weekly_earnings_data_monthly,gdp_data_quarterly,gdp_real_data_quarterly,cpi_inflation_data_annual,median_income_real_data_annual,median_income_data_annual,Date,Quarter,Year,Company,Ticker,industryKey,sectorKey,Close,Volume,Uber,Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,Etsy,Shopify,Udemy,target
2010-01-01,1,2010,4.995833333333334,217.374,220.71566666666664,2.043333333333333,0.22,0.0,9.833333333333334,15120.333333333334,129791.33333333331,58.5,64.86666666666667,1695.4666666666665,8509.5,3914.6666666666665,0.1333333333333333,73.86666666666666,2.733333333333333,79.47636999999999,98.54385666666668,2342.333333333333,3718.0,3716.0,761.4633333333333,14764.61,16582.71,1.6400434423899,68420.0,49280.0,2010-03-31,1.0,2010.0,Herbalife,HLF,packaged-foods,consumer-defensive,10.685731887817385,1825200.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,7.0,3.0,2.333333333333333,3.0,20.33333333333333,13.0,0.0,0.0,0.04915827968302274
2010-04-01,2,2010,4.922307692307692,217.2973333333333,220.99266666666665,0.81,0.2933333333333333,0.0,9.633333333333333,14882.666666666666,130424.0,58.6,64.89999999999999,1713.5666666666666,8597.300000000001,3956.4666666666662,0.1933333333333333,73.93333333333334,2.966666666666667,79.54810333333333,98.50729666666666,2544.333333333333,3779.6666666666665,3669.6666666666665,768.34,14980.193,16743.162,1.6400434423899,68420.0,49280.0,2010-06-30,2.0,2010.0,Herbalife,HLF,packaged-foods,consumer-defensive,10.714052200317385,1803600.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,3.0,2.333333333333333,2.6666666666666665,22.33333333333333,13.333333333333334,0.0,0.0,0.049305953441601
2010-04-01,2,2010,4.922307692307692,217.2973333333333,220.99266666666665,0.81,0.2933333333333333,0.0,9.633333333333333,14882.666666666666,130424.0,58.6,64.89999999999999,1713.5666666666666,8597.300000000001,3956.4666666666662,0.1933333333333333,73.93333333333334,2.966666666666667,79.54810333333333,98.50729666666666,2544.333333333333,3779.6666666666665,3669.6666666666665,768.34,14980.193,16743.162,1.6400434423899,68420.0,49280.0,2010-06-30,2.0,2010.0,Primerica,PRI,insurance-life,financial-services,17.888917922973633,179200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,3.0,2.333333333333333,2.6666666666666665,22.33333333333333,13.333333333333334,0.0,0.0,0.08232460862983577
2010-07-01,3,2010,4.4471428571428575,217.9343333333333,221.52766666666665,0.0533333333333333,0.3466666666666667,0.0,9.466666666666669,14579.666666666666,130390.33333333331,58.53333333333333,64.63333333333333,1746.3,8682.033333333333,3983.8,0.1866666666666666,68.3,2.5333333333333337,73.48695333333335,98.02767666666666,2664.333333333333,3815.3333333333335,3699.0,774.5866666666667,15141.607,16872.266,1.6400434423899,68420.0,49280.0,2010-09-30,3.0,2010.0,Herbalife,HLF,packaged-foods,consumer-defensive,14.102704048156738,3009200.0,2.333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,7.666666666666667,3.0,2.0,3.0,22.0,17.333333333333332,0.0,0.0,0.06471079536874291
2010-07-01,3,2010,4.4471428571428575,217.9343333333333,221.52766666666665,0.0533333333333333,0.3466666666666667,0.0,9.466666666666669,14579.666666666666,130390.33333333331,58.53333333333333,64.63333333333333,1746.3,8682.033333333333,3983.8,0.1866666666666666,68.3,2.5333333333333337,73.48695333333335,98.02767666666666,2664.333333333333,3815.3333333333335,3699.0,774.5866666666667,15141.607,16872.266,1.6400434423899,68420.0,49280.0,2010-09-30,3.0,2010.0,Primerica,PRI,insurance-life,financial-services,16.979188919067383,161500.0,2.333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,7.666666666666667,3.0,2.0,3.0,22.0,17.333333333333332,0.0,0.0,0.07790965590124571
2010-10-01,4,2010,4.436153846153847,219.699,222.10733333333332,0.1,0.3133333333333333,0.0,9.5,14648.333333333334,130733.0,58.26666666666667,64.43333333333334,1815.3333333333333,8793.533333333333,4002.566666666667,0.1866666666666666,71.26666666666667,2.9,76.67892,98.28873,2807.6666666666665,3927.0,3746.3333333333335,779.2266666666666,15309.474,16960.864,1.6400434423899,68420.0,49280.0,2010-12-31,4.0,2010.0,Herbalife,HLF,packaged-foods,consumer-defensive,16.037757873535156,728800.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.6666666666666665,20.666666666666668,20.0,0.0,0.0,0.0729987750218943
2010-10-01,4,2010,4.436153846153847,219.699,222.10733333333332,0.1,0.3133333333333333,0.0,9.5,14648.333333333334,130733.0,58.26666666666667,64.43333333333334,1815.3333333333333,8793.533333333333,4002.566666666667,0.1866666666666666,71.26666666666667,2.9,76.67892,98.28873,2807.6666666666665,3927.0,3746.3333333333335,779.2266666666666,15309.474,16960.864,1.6400434423899,68420.0,49280.0,2010-12-31,4.0,2010.0,Primerica,PRI,insurance-life,financial-services,20.25223922729492,41700.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.6666666666666665,20.666666666666668,20.0,0.0,0.0,0.09218175425147551
2011-01-01,1,2011,4.846923076923077,222.04366666666667,223.15666666666667,-0.21,0.3933333333333333,0.0,9.033333333333331,13856.666666666666,131059.0,58.36666666666667,64.16666666666667,1875.4,8911.266666666666,4013.2666666666655,0.1566666666666666,73.06666666666666,3.8,78.61561999999999,98.53530333333332,2871.6666666666665,3965.3333333333335,3783.3333333333335,783.6766666666667,15351.448,16920.632,3.156841568622,67410.0,50050.0,2011-03-31,1.0,2011.0,Herbalife,HLF,packaged-foods,consumer-defensive,19.14738845825196,764000.0,2.333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.333333333333333,3.0,2.0,2.333333333333333,19.666666666666668,24.666666666666668,0.0,0.0,0.08623253590473327
2011-01-01,1,2011,4.846923076923077,222.04366666666667,223.15666666666667,-0.21,0.3933333333333333,0.0,9.033333333333331,13856.666666666666,131059.0,58.36666666666667,64.16666666666667,1875.4,8911.266666666666,4013.2666666666655,0.1566666666666666,73.06666666666666,3.8,78.61561999999999,98.53530333333332,2871.6666666666665,3965.3333333333335,3783.3333333333335,783.6766666666667,15351.448,16920.632,3.156841568622,67410.0,50050.0,2011-03-31,1.0,2011.0,Primerica,PRI,insurance-life,financial-services,21.31284523010254,88700.0,2.333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.333333333333333,3.0,2.0,2.333333333333333,19.666666666666668,24.666666666666668,0.0,0.0,0.09598492742464713
2011-04-01,2,2011,4.650769230769231,224.56833333333336,224.19966666666667,0.09,0.3933333333333333,0.0,9.066666666666666,13924.666666666666,131743.66666666666,58.3,64.10000000000001,1939.3,9108.333333333334,4055.933333333333,0.0933333333333333,71.86666666666666,4.166666666666667,77.32449000000001,98.18640666666666,2964.0,4041.6666666666665,3829.0,789.0566666666667,15557.539,17035.114,3.156841568622,67410.0,50050.0,2011-06-30,2.0,2011.0,Herbalife,HLF,packaged-foods,consumer-defensive,27.181718826293945,1700800.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.333333333333333,4.0,2.0,2.0,20.33333333333333,26.33333333333333,0.0,0.0,0.12103985643402057
2011-04-01,2,2011,4.650769230769231,224.56833333333336,224.19966666666667,0.09,0.3933333333333333,0.0,9.066666666666666,13924.666666666666,131743.66666666666,58.3,64.10000000000001,1939.3,9108.333333333334,4055.933333333333,0.0933333333333333,71.86666666666666,4.166666666666667,77.32449000000001,98.18640666666666,2964.0,4041.6666666666665,3829.0,789.0566666666667,15557.539,17035.114,3.156841568622,67410.0,50050.0,2011-06-30,2.0,2011.0,Primerica,PRI,insurance-life,financial-services,18.381704330444336,252300.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.333333333333333,4.0,2.0,2.0,20.33333333333333,26.33333333333333,0.0,0.0,0.08185350114862291
