ticker,date,filed_date,form,fiscal_period,company,industrykey,sectorkey,fiscal_year,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares,quarter,year,close,volume
AVON,2012-12-31,2013-02-28,10-K,FY,AVON,,,2012,10862800000.0,10862800000.0,10862800000.0,10862800000.0,10862800000.0,10862800000.0,,10862800000.0,10862800000.0,10862800000.0,1,1,0,1,1,1,1,4,2012,,
AVON,2013-03-31,2013-04-30,10-Q,Q1,AVON,,,2013,2575400000.0,2575400000.0,2575400000.0,2575400000.0,2575400000.0,2575400000.0,,2575400000.0,2575400000.0,2575400000.0,1,1,0,1,1,1,1,1,2013,,
AVON,2013-06-30,2013-08-01,10-Q,Q2,AVON,,,2013,5098600000.0,5098600000.0,5098600000.0,5098600000.0,5098600000.0,5098600000.0,,5098600000.0,5098600000.0,5098600000.0,1,1,0,1,1,1,1,2,2013,,
AVON,2013-09-30,2013-10-31,10-Q,Q3,AVON,,,2013,7609200000.0,7609200000.0,7609200000.0,7609200000.0,7609200000.0,7609200000.0,,7609200000.0,7609200000.0,7609200000.0,1,1,0,1,1,1,1,3,2013,,
AVON,2013-12-31,2014-02-26,10-K,FY,AVON,,,2013,11099500000.0,11099500000.0,11099500000.0,11099500000.0,11099500000.0,11099500000.0,,11099500000.0,11099500000.0,11099500000.0,1,1,0,1,1,1,1,4,2013,,
AVON,2014-03-31,2014-05-01,10-Q,Q1,AVON,,,2014,2456000000.0,2456000000.0,2456000000.0,2456000000.0,2456000000.0,2456000000.0,,2456000000.0,2456000000.0,2456000000.0,1,1,0,1,1,1,1,1,2014,,
AVON,2014-06-30,2014-07-31,10-Q,Q2,AVON,,,2014,4964900000.0,4964900000.0,4964900000.0,4964900000.0,4964900000.0,4964900000.0,,4964900000.0,4964900000.0,4964900000.0,1,1,0,1,1,1,1,2,2014,,
AVON,2014-09-30,2014-10-30,10-Q,Q3,AVON,,,2014,7287800000.0,7287800000.0,7287800000.0,7287800000.0,7287800000.0,7287800000.0,,7287800000.0,7287800000.0,7287800000.0,1,1,0,1,1,1,1,3,2014,,
AVON,2014-12-31,2015-02-24,10-K,FY,AVON,,,2014,10561400000.0,10561400000.0,10561400000.0,10561400000.0,10561400000.0,10561400000.0,,10561400000.0,10561400000.0,10561400000.0,1,1,0,1,1,1,1,4,2014,,
AVON,2015-03-31,2015-04-30,10-Q,Q1,AVON,,,2015,2183600000.0,2183600000.0,2183600000.0,2183600000.0,2183600000.0,2183600000.0,,2183600000.0,2183600000.0,2183600000.0,1,1,0,1,1,1,1,1,2015,,
AVON,2015-03-31,2016-05-05,10-Q,Q1,AVON,,,2015,1552100000.0,1552100000.0,1552100000.0,1552100000.0,1552100000.0,1552100000.0,,1552100000.0,1552100000.0,1552100000.0,1,1,0,1,1,1,1,1,2015,,
AVON,2015-06-30,2015-07-30,10-Q,Q2,AVON,,,2015,4372200000.0,4372200000.0,4372200000.0,4372200000.0,4372200000.0,4372200000.0,,4372200000.0,4372200000.0,4372200000.0,1,1,0,1,1,1,1,2,2015,,
AVON,2015-09-30,2015-11-04,10-Q,Q3,AVON,,,2015,6510400000.0,6510400000.0,6510400000.0,6510400000.0,6510400000.0,6510400000.0,,6510400000.0,6510400000.0,6510400000.0,1,1,0,1,1,1,1,3,2015,,
