Date,Week,Month,Quarter,Year,Company,Ticker,industryKey,sectorKey,Close,Volume,Close_lag1,Volume_lag1
2019-06-30,26,6,2,2019,Upwork,UPWK,internet-content-information,communication-services,16.079999923706055,6966900.0,15.510000228881836,2400300.0
2019-07-07,27,7,3,2019,Upwork,UPWK,internet-content-information,communication-services,15.8100004196167,441900.0,16.079999923706055,6966900.0
2019-07-14,28,7,3,2019,Upwork,UPWK,internet-content-information,communication-services,16.6200008392334,1039800.0,15.8100004196167,441900.0
2019-07-21,29,7,3,2019,Upwork,UPWK,internet-content-information,communication-services,17.040000915527344,772000.0,16.6200008392334,1039800.0
2019-07-28,30,7,3,2019,Upwork,UPWK,internet-content-information,communication-services,16.989999771118164,524300.0,17.040000915527344,772000.0
2019-08-04,31,8,3,2019,Upwork,UPWK,internet-content-information,communication-services,15.880000114440918,591900.0,16.989999771118164,524300.0
2019-08-11,32,8,3,2019,Upwork,UPWK,internet-content-information,communication-services,15.149999618530273,2504800.0,15.880000114440918,591900.0
2019-08-18,33,8,3,2019,Upwork,UPWK,internet-content-information,communication-services,15.0,676800.0,15.149999618530273,2504800.0
2019-08-25,34,8,3,2019,Upwork,UPWK,internet-content-information,communication-services,14.399999618530273,696900.0,15.0,676800.0
2019-09-01,35,9,3,2019,Upwork,UPWK,internet-content-information,communication-services,14.460000038146973,896600.0,14.399999618530273,696900.0
2019-09-08,36,9,3,2019,Upwork,UPWK,internet-content-information,communication-services,14.069999694824219,1227900.0,14.460000038146973,896600.0
2019-09-15,37,9,3,2019,Upwork,UPWK,internet-content-information,communication-services,14.970000267028809,886200.0,14.069999694824219,1227900.0
2019-09-22,38,9,3,2019,Upwork,UPWK,internet-content-information,communication-services,13.710000038146973,1836600.0,14.970000267028809,886200.0
2019-09-29,39,9,3,2019,Upwork,UPWK,internet-content-information,communication-services,13.260000228881836,1123000.0,13.710000038146973,1836600.0
2019-10-06,40,10,4,2019,Upwork,UPWK,internet-content-information,communication-services,14.0600004196167,1124700.0,13.260000228881836,1123000.0
2019-10-13,41,10,4,2019,Upwork,UPWK,internet-content-information,communication-services,14.300000190734863,1536100.0,14.0600004196167,1124700.0
2019-10-20,42,10,4,2019,Upwork,UPWK,internet-content-information,communication-services,14.420000076293945,1155100.0,14.300000190734863,1536100.0
2019-10-27,43,10,4,2019,Upwork,UPWK,internet-content-information,communication-services,14.819999694824219,620400.0,14.420000076293945,1155100.0
2019-11-03,44,11,4,2019,Upwork,UPWK,internet-content-information,communication-services,15.210000038146973,1267200.0,14.819999694824219,620400.0
2019-11-10,45,11,4,2019,Upwork,UPWK,internet-content-information,communication-services,12.770000457763672,3615000.0,15.210000038146973,1267200.0
2019-11-17,46,11,4,2019,Upwork,UPWK,internet-content-information,communication-services,11.850000381469727,1063500.0,12.770000457763672,3615000.0
2019-11-24,47,11,4,2019,Upwork,UPWK,internet-content-information,communication-services,11.239999771118164,1357600.0,11.850000381469727,1063500.0
2019-12-01,48,12,4,2019,Upwork,UPWK,internet-content-information,communication-services,11.649999618530273,414500.0,11.239999771118164,1357600.0
2019-12-08,49,12,4,2019,Upwork,UPWK,internet-content-information,communication-services,11.319999694824219,703100.0,11.649999618530273,414500.0
2019-12-15,50,12,4,2019,Upwork,UPWK,internet-content-information,communication-services,10.420000076293945,1607900.0,11.319999694824219,703100.0
2019-12-22,51,12,4,2019,Upwork,UPWK,internet-content-information,communication-services,10.600000381469727,1071900.0,10.420000076293945,1607900.0
2019-12-29,52,12,4,2019,Upwork,UPWK,internet-content-information,communication-services,10.420000076293945,860200.0,10.600000381469727,1071900.0
2020-01-05,1,1,1,2020,Upwork,UPWK,internet-content-information,communication-services,10.09000015258789,1405300.0,10.420000076293945,860200.0
2020-01-12,2,1,1,2020,Upwork,UPWK,internet-content-information,communication-services,10.029999732971191,2320400.0,10.09000015258789,1405300.0
2020-01-19,3,1,1,2020,Upwork,UPWK,internet-content-information,communication-services,10.050000190734863,1311300.0,10.029999732971191,2320400.0
2020-01-26,4,1,1,2020,Upwork,UPWK,internet-content-information,communication-services,9.220000267028809,1811700.0,10.050000190734863,1311300.0
2020-02-02,5,2,1,2020,Upwork,UPWK,internet-content-information,communication-services,9.180000305175781,858400.0,9.220000267028809,1811700.0
2020-02-09,6,2,1,2020,Upwork,UPWK,internet-content-information,communication-services,9.069999694824219,1281600.0,9.180000305175781,858400.0
2020-02-16,7,2,1,2020,Upwork,UPWK,internet-content-information,communication-services,9.220000267028809,2583200.0,9.069999694824219,1281600.0
2020-02-23,8,2,1,2020,Upwork,UPWK,internet-content-information,communication-services,9.09000015258789,909200.0,9.220000267028809,2583200.0
2020-03-01,9,3,1,2020,Upwork,UPWK,internet-content-information,communication-services,8.65999984741211,2572500.0,9.09000015258789,909200.0
2020-03-08,10,3,1,2020,Upwork,UPWK,internet-content-information,communication-services,7.980000019073486,3406400.0,8.65999984741211,2572500.0
2020-03-15,11,3,1,2020,Upwork,UPWK,internet-content-information,communication-services,7.170000076293945,2982200.0,7.980000019073486,3406400.0
2020-03-22,12,3,1,2020,Upwork,UPWK,internet-content-information,communication-services,6.190000057220459,1505100.0,7.170000076293945,2982200.0
2020-03-29,13,3,1,2020,Upwork,UPWK,internet-content-information,communication-services,6.5,1913700.0,6.190000057220459,1505100.0
2020-04-05,14,4,2,2020,Upwork,UPWK,internet-content-information,communication-services,5.400000095367432,2095100.0,6.5,1913700.0
2020-04-12,15,4,2,2020,Upwork,UPWK,internet-content-information,communication-services,7.269999980926514,986200.0,5.400000095367432,2095100.0
2020-04-19,16,4,2,2020,Upwork,UPWK,internet-content-information,communication-services,7.400000095367432,928500.0,7.269999980926514,986200.0
2020-04-26,17,4,2,2020,Upwork,UPWK,internet-content-information,communication-services,7.889999866485596,766400.0,7.400000095367432,928500.0
2020-05-03,18,5,2,2020,Upwork,UPWK,internet-content-information,communication-services,8.529999732971191,799900.0,7.889999866485596,766400.0
2020-05-10,19,5,2,2020,Upwork,UPWK,internet-content-information,communication-services,9.850000381469727,2326400.0,8.529999732971191,799900.0
2020-05-17,20,5,2,2020,Upwork,UPWK,internet-content-information,communication-services,13.720000267028809,4752900.0,9.850000381469727,2326400.0
2020-05-24,21,5,2,2020,Upwork,UPWK,internet-content-information,communication-services,12.300000190734863,1959100.0,13.720000267028809,4752900.0
2020-05-31,22,5,2,2020,Upwork,UPWK,internet-content-information,communication-services,12.4399995803833,1970000.0,12.300000190734863,1959100.0
2020-06-07,23,6,2,2020,Upwork,UPWK,internet-content-information,communication-services,12.329999923706055,2294200.0,12.4399995803833,1970000.0
2020-06-14,24,6,2,2020,Upwork,UPWK,internet-content-information,communication-services,11.84000015258789,2151400.0,12.329999923706055,2294200.0
2020-06-21,25,6,2,2020,Upwork,UPWK,internet-content-information,communication-services,12.239999771118164,4584900.0,11.84000015258789,2151400.0
2020-06-28,26,6,2,2020,Upwork,UPWK,internet-content-information,communication-services,14.109999656677246,12455400.0,12.239999771118164,4584900.0
2020-07-05,27,7,3,2020,Upwork,UPWK,internet-content-information,communication-services,14.369999885559082,2576400.0,14.109999656677246,12455400.0
2020-07-12,28,7,3,2020,Upwork,UPWK,internet-content-information,communication-services,16.079999923706055,2711400.0,14.369999885559082,2576400.0
