Date,Company,Ticker,industryKey,sectorKey,Close,Volume
2019-01-04,Upwork,UPWK,internet-content-information,communication-services,18.59000015258789,319900.0
2019-01-07,Upwork,UPWK,internet-content-information,communication-services,18.700000762939453,187300.0
2019-01-08,Upwork,UPWK,internet-content-information,communication-services,19.1299991607666,193500.0
2019-01-09,Upwork,UPWK,internet-content-information,communication-services,19.34000015258789,195300.0
2019-01-10,Upwork,UPWK,internet-content-information,communication-services,19.0,225200.0
2019-01-11,Upwork,UPWK,internet-content-information,communication-services,18.989999771118164,152100.0
2019-01-14,Upwork,UPWK,internet-content-information,communication-services,18.799999237060547,156400.0
2019-01-15,Upwork,UPWK,internet-content-information,communication-services,18.969999313354492,122200.0
2019-01-16,Upwork,UPWK,internet-content-information,communication-services,19.0,156600.0
2019-01-17,Upwork,UPWK,internet-content-information,communication-services,19.059999465942383,77500.0
2019-01-18,Upwork,UPWK,internet-content-information,communication-services,18.940000534057617,288100.0
2019-01-22,Upwork,UPWK,internet-content-information,communication-services,18.299999237060547,163000.0
2019-01-23,Upwork,UPWK,internet-content-information,communication-services,18.389999389648438,198700.0
2019-01-24,Upwork,UPWK,internet-content-information,communication-services,18.899999618530273,166900.0
2019-01-25,Upwork,UPWK,internet-content-information,communication-services,18.979999542236328,173200.0
2019-01-28,Upwork,UPWK,internet-content-information,communication-services,18.940000534057617,228700.0
2019-01-29,Upwork,UPWK,internet-content-information,communication-services,18.8799991607666,136800.0
2019-01-30,Upwork,UPWK,internet-content-information,communication-services,18.799999237060547,225000.0
2019-01-31,Upwork,UPWK,internet-content-information,communication-services,19.309999465942383,368200.0
2019-02-01,Upwork,UPWK,internet-content-information,communication-services,18.579999923706055,134600.0
2019-02-04,Upwork,UPWK,internet-content-information,communication-services,18.989999771118164,274600.0
2019-02-05,Upwork,UPWK,internet-content-information,communication-services,20.709999084472656,1180500.0
2019-02-06,Upwork,UPWK,internet-content-information,communication-services,22.170000076293945,793100.0
2019-02-07,Upwork,UPWK,internet-content-information,communication-services,21.1200008392334,397500.0
2019-02-08,Upwork,UPWK,internet-content-information,communication-services,20.56999969482422,267300.0
2019-02-11,Upwork,UPWK,internet-content-information,communication-services,21.969999313354492,379900.0
2019-02-12,Upwork,UPWK,internet-content-information,communication-services,22.40999984741211,262000.0
2019-02-13,Upwork,UPWK,internet-content-information,communication-services,22.229999542236328,166300.0
2019-02-14,Upwork,UPWK,internet-content-information,communication-services,23.18000030517578,536000.0
2019-02-15,Upwork,UPWK,internet-content-information,communication-services,22.059999465942383,494600.0
2019-02-19,Upwork,UPWK,internet-content-information,communication-services,22.899999618530273,468500.0
2019-02-20,Upwork,UPWK,internet-content-information,communication-services,22.440000534057617,205300.0
2019-02-21,Upwork,UPWK,internet-content-information,communication-services,22.010000228881836,261800.0
2019-02-22,Upwork,UPWK,internet-content-information,communication-services,22.719999313354492,447000.0
2019-02-25,Upwork,UPWK,internet-content-information,communication-services,22.5,232600.0
2019-02-26,Upwork,UPWK,internet-content-information,communication-services,22.75,549200.0
2019-02-27,Upwork,UPWK,internet-content-information,communication-services,23.90999984741211,1117100.0
2019-02-28,Upwork,UPWK,internet-content-information,communication-services,23.690000534057617,447200.0
2019-03-01,Upwork,UPWK,internet-content-information,communication-services,22.450000762939453,993000.0
2019-03-04,Upwork,UPWK,internet-content-information,communication-services,22.920000076293945,681100.0
2019-03-05,Upwork,UPWK,internet-content-information,communication-services,22.940000534057617,291800.0
2019-03-06,Upwork,UPWK,internet-content-information,communication-services,22.399999618530273,283900.0
2019-03-07,Upwork,UPWK,internet-content-information,communication-services,21.610000610351562,237800.0
2019-03-08,Upwork,UPWK,internet-content-information,communication-services,21.479999542236328,254900.0
2019-03-11,Upwork,UPWK,internet-content-information,communication-services,21.549999237060547,168300.0
2019-03-12,Upwork,UPWK,internet-content-information,communication-services,21.170000076293945,269400.0
2019-03-13,Upwork,UPWK,internet-content-information,communication-services,20.760000228881836,373200.0
2019-03-14,Upwork,UPWK,internet-content-information,communication-services,20.399999618530273,284100.0
2019-03-15,Upwork,UPWK,internet-content-information,communication-services,20.309999465942383,760100.0
2019-03-18,Upwork,UPWK,internet-content-information,communication-services,20.299999237060547,459500.0
2019-03-19,Upwork,UPWK,internet-content-information,communication-services,20.389999389648438,320400.0
2019-03-20,Upwork,UPWK,internet-content-information,communication-services,20.56999969482422,173500.0
2019-03-21,Upwork,UPWK,internet-content-information,communication-services,20.34000015258789,325000.0
2019-03-22,Upwork,UPWK,internet-content-information,communication-services,19.899999618530273,336600.0
