Uber,Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,Etsy,Shopify,Udemy,year,quarter,date
2.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,7.0,3.0,2.3333333333333335,3.0,20.333333333333332,13.0,0.0,0.0,2010,1,2010-01-01
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,3.0,2.3333333333333335,2.6666666666666665,22.333333333333332,13.333333333333334,0.0,0.0,2010,2,2010-04-01
2.3333333333333335,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,7.666666666666667,3.0,2.0,3.0,22.0,17.333333333333332,0.0,0.0,2010,3,2010-07-01
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.6666666666666665,20.666666666666668,20.0,0.0,0.0,2010,4,2010-10-01
2.3333333333333335,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.333333333333333,3.0,2.0,2.3333333333333335,19.666666666666668,24.666666666666668,0.0,0.0,2011,1,2011-01-01
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.333333333333333,4.0,2.0,2.0,20.333333333333332,26.333333333333332,0.0,0.0,2011,2,2011-04-01
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.333333333333333,4.0,2.0,2.6666666666666665,19.666666666666668,30.333333333333332,0.0,0.0,2011,3,2011-07-01
2.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,7.0,3.0,2.0,2.3333333333333335,19.0,36.666666666666664,0.6666666666666666,0.0,2011,4,2011-10-01
2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.333333333333333,4.333333333333333,2.0,2.6666666666666665,19.0,38.333333333333336,1.0,0.0,2012,1,2012-01-01
2.6666666666666665,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.666666666666667,5.0,2.0,2.6666666666666665,20.0,45.166666666666664,1.1666666666666667,0.0,2012,2,2012-04-01
3.0,0.0,0.0,0.0,2.3333333333333335,1.3333333333333333,0.0,0.0,7.0,5.0,2.0,2.6666666666666665,19.333333333333332,45.333333333333336,1.0,0.0,2012,3,2012-07-01
3.3333333333333335,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.666666666666667,4.333333333333333,1.6666666666666667,3.0,18.0,53.333333333333336,1.0,0.0,2012,4,2012-10-01
4.333333333333333,0.0,0.0,0.0,3.6666666666666665,1.0,0.0,0.0,6.333333333333333,7.333333333333333,2.0,3.0,18.0,52.666666666666664,1.0,0.0,2013,1,2013-01-01
5.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,6.666666666666667,7.0,2.0,3.0,19.0,51.53333333333333,1.0666666666666667,0.0,2013,2,2013-04-01
7.333333333333333,2.0,0.0,0.0,3.3333333333333335,1.0,0.0,0.0,7.0,7.333333333333333,2.0,3.0,19.0,51.333333333333336,1.0,0.0,2013,3,2013-07-01
10.0,2.0,0.0,0.0,4.666666666666667,1.0,0.0,0.0,6.333333333333333,6.333333333333333,1.6666666666666667,3.0,17.666666666666668,56.333333333333336,1.3333333333333333,0.0,2013,4,2013-10-01
13.666666666666666,2.3333333333333335,0.0,0.0,7.333333333333333,1.0,0.0,0.0,6.0,9.333333333333334,2.0,2.6666666666666665,17.666666666666668,54.75213675213675,2.106837606837607,1.0534188034188035,2014,1,2014-01-01
21.333333333333332,4.333333333333333,0.0,0.6666666666666666,7.0,1.0,0.0,0.0,6.333333333333333,8.666666666666666,2.0,3.0,18.0,54.60168940870695,2.0597790773229367,1.0298895386614684,2014,2,2014-04-01
29.333333333333332,6.333333333333333,0.0,1.0,6.333333333333333,1.0,0.0,0.0,6.666666666666667,6.666666666666667,2.0,3.0,18.0,55.56151553852703,2.0706683695189443,1.0353341847594721,2014,3,2014-07-01
36.0,4.666666666666667,0.0,1.0,7.333333333333333,1.0,0.0,0.0,6.0,5.0,1.6666666666666667,3.0,16.333333333333332,59.513513513513516,2.0180180180180183,1.0090090090090091,2014,4,2014-10-01
36.333333333333336,5.0,0.0,1.0,8.333333333333334,1.3333333333333333,0.0,0.0,6.0,6.333333333333333,2.0,3.0,16.666666666666668,53.48480392156862,2.057107843137255,1.0285539215686275,2015,1,2015-01-01
53.0,5.0,0.3333333333333333,1.0,7.333333333333333,2.0,0.3333333333333333,0.0,6.333333333333333,5.666666666666667,2.0,3.0,18.666666666666668,51.97998366013072,2.737628384687208,1.365254435107376,2015,2,2015-04-01
61.666666666666664,7.0,1.0,1.3333333333333333,7.666666666666667,2.0,1.0,0.0,7.0,5.666666666666667,2.3333333333333335,3.0,18.333333333333332,55.56893552147789,3.0494888350820553,2.03299255672137,2015,3,2015-07-01
61.0,8.0,1.3333333333333333,1.6666666666666667,8.0,1.3333333333333333,1.0,0.0,6.333333333333333,4.333333333333333,1.6666666666666667,3.0,15.666666666666666,60.277530589543936,3.42880978865406,2.055988134964776,2015,4,2015-10-01
68.33333333333333,9.666666666666666,1.0,1.3333333333333333,7.666666666666667,1.3333333333333333,1.0,0.0,6.0,6.666666666666667,2.0,3.0,17.0,49.44829244829245,3.7773929773929775,2.0604136604136603,2016,1,2016-01-01
74.66666666666667,13.0,2.0,1.0,7.333333333333333,2.0,1.0,0.0,6.0,7.0,2.0,2.6666666666666665,18.333333333333332,48.755418500382234,4.091668560645192,1.022917140161298,2016,2,2016-04-01
83.0,15.666666666666666,2.0,1.0,7.333333333333333,1.3333333333333333,1.0,0.0,6.333333333333333,6.333333333333333,2.0,3.0,18.0,50.00094525727437,4.081374321880651,1.3621157323688966,2016,3,2016-07-01
82.0,17.0,3.0,2.0,10.0,1.0,1.0,0.0,6.0,4.666666666666667,1.6666666666666667,3.0,16.0,55.00946358669936,5.125092713168594,1.7084732992592073,2016,4,2016-10-01
82.0,20.0,3.0,2.0,10.0,2.0,1.0,0.0,6.0,5.666666666666667,2.0,3.0,16.333333333333332,46.4674216345903,5.808775361184999,2.0500469410107964,2017,1,2017-01-01
86.33333333333333,21.666666666666668,4.0,2.3333333333333335,10.333333333333334,2.0,1.3333333333333333,0.0,6.333333333333333,6.0,2.0,3.0,18.0,47.26372328841703,6.8510072138287725,2.055049680141554,2017,2,2017-04-01
79.0,23.0,4.0,3.0,10.0,2.0,1.0,0.0,6.0,5.0,2.0,3.0,18.0,46.51717171717171,6.8415584415584405,2.0522366522366524,2017,3,2017-07-01
70.66666666666667,21.333333333333332,5.0,4.0,10.0,2.0,1.0,0.0,6.333333333333333,3.6666666666666665,2.0,3.0,16.333333333333332,53.25141043150262,7.5087958898318865,2.7298678177738758,2017,4,2017-10-01
77.0,21.0,6.333333333333333,5.333333333333333,11.666666666666666,2.0,2.0,0.0,6.333333333333333,5.666666666666667,2.0,3.0,16.0,44.74976152623211,8.13799682034976,3.3899841017488073,2018,1,2018-01-01
75.66666666666667,21.333333333333332,9.0,5.0,12.333333333333334,2.0,1.6666666666666667,0.0,6.333333333333333,6.0,2.0,3.0,17.0,44.51710758377425,8.218224573780128,3.0818342151675484,2018,2,2018-04-01
81.0,23.0,12.333333333333334,5.666666666666667,13.333333333333334,2.0,1.0,0.0,6.666666666666667,5.666666666666667,2.0,3.0,17.666666666666668,45.27889335118251,8.849174475680499,3.0639223560910303,2018,3,2018-07-01
72.0,21.666666666666668,15.333333333333334,6.0,16.333333333333332,2.0,1.3333333333333333,0.0,6.0,4.0,2.0,3.0,15.666666666666666,53.89318481696278,7.845684126545766,3.0706526742152263,2018,4,2018-10-01
74.33333333333333,25.666666666666668,22.666666666666668,7.0,19.666666666666668,2.0,1.6666666666666667,0.3333333333333333,6.0,5.333333333333333,2.0,3.0,16.0,45.81427257502128,8.824839387200397,3.0542891854048264,2019,1,2019-01-01
87.66666666666667,28.666666666666668,25.333333333333332,6.666666666666667,16.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,6.333333333333333,5.666666666666667,2.0,3.0,17.0,48.78654955653147,9.553840523551193,3.412391285628175,2019,2,2019-04-01
75.33333333333333,21.333333333333332,24.333333333333332,7.333333333333333,14.333333333333334,2.6666666666666665,2.0,0.6666666666666666,6.333333333333333,5.0,2.0,3.0,17.0,46.23106534452072,9.9302313755403,3.0819679633867274,2019,3,2019-07-01
69.66666666666667,19.666666666666668,24.666666666666668,7.0,15.666666666666666,2.0,1.6666666666666667,0.3333333333333333,6.0,3.6666666666666665,1.6666666666666667,3.0,15.333333333333334,56.385072765768705,9.175587691329198,3.0586477868996504,2019,4,2019-10-01
