Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,Etsy,Shopify,Udemy,year,quarter,date,Lyft_lag,DoorDash_lag,Instacart_lag,Grubhub_lag,Fiverr_lag,Upwork_lag,side hustle_lag,gig_lag,Herbalife_lag,Primerica_lag,Tupperware_lag,Avon_lag,Etsy_lag,Shopify_lag,Udemy_lag,quarter_lag
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.666666666666667,4.0,2.3333333333333335,3.0,20.333333333333332,30.666666666666668,0.0,0.0,2011,3,2011-07-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.666666666666667,3.6666666666666665,2.0,2.3333333333333335,20.333333333333332,25.666666666666668,0.0,0.0,2.0
0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,7.333333333333333,3.0,2.0,2.3333333333333335,19.333333333333332,36.0,0.6666666666666666,0.0,2011,4,2011-10-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.666666666666667,4.0,2.3333333333333335,3.0,20.333333333333332,30.666666666666668,0.0,0.0,3.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.666666666666667,4.333333333333333,2.0,2.6666666666666665,19.0,38.0,1.0,0.0,2012,1,2012-01-01,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,7.333333333333333,3.0,2.0,2.3333333333333335,19.333333333333332,36.0,0.6666666666666666,0.0,4.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.666666666666667,5.333333333333333,2.0,2.3333333333333335,19.666666666666668,45.5,1.1666666666666667,0.0,2012,2,2012-04-01,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.666666666666667,4.333333333333333,2.0,2.6666666666666665,19.0,38.0,1.0,0.0,1.0
0.0,0.0,0.0,2.3333333333333335,1.3333333333333333,0.0,0.0,7.0,5.0,2.0,2.6666666666666665,19.333333333333332,46.333333333333336,1.0,0.0,2012,3,2012-07-01,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.666666666666667,5.333333333333333,2.0,2.3333333333333335,19.666666666666668,45.5,1.1666666666666667,0.0,2.0
0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.666666666666667,4.666666666666667,1.6666666666666667,3.0,18.0,52.666666666666664,1.0,0.0,2012,4,2012-10-01,0.0,0.0,0.0,2.3333333333333335,1.3333333333333333,0.0,0.0,7.0,5.0,2.0,2.6666666666666665,19.333333333333332,46.333333333333336,1.0,0.0,3.0
0.0,0.0,0.0,3.6666666666666665,1.0,0.0,0.0,6.333333333333333,7.0,2.0,3.0,18.0,53.0,1.0,0.0,2013,1,2013-01-01,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.666666666666667,4.666666666666667,1.6666666666666667,3.0,18.0,52.666666666666664,1.0,0.0,4.0
1.0,0.0,0.0,3.3333333333333335,1.0,0.0,0.0,6.666666666666667,7.0,2.0,3.0,19.0,48.333333333333336,1.0,0.0,2013,2,2013-04-01,0.0,0.0,0.0,3.6666666666666665,1.0,0.0,0.0,6.333333333333333,7.0,2.0,3.0,18.0,53.0,1.0,0.0,1.0
2.0,0.0,0.0,3.6666666666666665,1.0,0.0,0.0,7.0,7.333333333333333,2.0,3.0,19.0,52.0,1.0,0.0,2013,3,2013-07-01,1.0,0.0,0.0,3.3333333333333335,1.0,0.0,0.0,6.666666666666667,7.0,2.0,3.0,19.0,48.333333333333336,1.0,0.0,2.0
2.3333333333333335,0.0,0.0,4.666666666666667,1.0,0.0,0.0,6.333333333333333,6.333333333333333,1.6666666666666667,3.0,17.666666666666668,58.15151515151515,1.0303030303030303,0.0,2013,4,2013-10-01,2.0,0.0,0.0,3.6666666666666665,1.0,0.0,0.0,7.0,7.333333333333333,2.0,3.0,19.0,52.0,1.0,0.0,3.0
2.3333333333333335,0.0,0.0,7.333333333333333,1.0,0.0,0.0,6.0,9.333333333333334,2.0,3.0,17.666666666666668,53.083333333333336,2.0555555555555554,1.0277777777777777,2014,1,2014-01-01,2.3333333333333335,0.0,0.0,4.666666666666667,1.0,0.0,0.0,6.333333333333333,6.333333333333333,1.6666666666666667,3.0,17.666666666666668,58.15151515151515,1.0303030303030303,0.0,4.0
4.666666666666667,0.0,0.6666666666666666,7.0,1.0,0.0,0.0,6.666666666666667,8.333333333333334,2.0,3.0,18.666666666666668,53.79753086419753,2.0691358024691358,1.0345679012345679,2014,2,2014-04-01,2.3333333333333335,0.0,0.0,7.333333333333333,1.0,0.0,0.0,6.0,9.333333333333334,2.0,3.0,17.666666666666668,53.083333333333336,2.0555555555555554,1.0277777777777777,1.0
6.333333333333333,0.0,1.0,6.333333333333333,1.0,0.0,0.0,6.666666666666667,6.333333333333333,2.0,3.0,18.0,56.55202517788725,2.069020251778873,1.0345101258894365,2014,3,2014-07-01,4.666666666666667,0.0,0.6666666666666666,7.0,1.0,0.0,0.0,6.666666666666667,8.333333333333334,2.0,3.0,18.666666666666668,53.79753086419753,2.0691358024691358,1.0345679012345679,2.0
5.0,0.0,1.0,7.666666666666667,1.0,0.0,0.0,6.333333333333333,4.666666666666667,1.6666666666666667,3.0,16.666666666666668,62.07327327327328,2.0582582582582583,1.0291291291291291,2014,4,2014-10-01,6.333333333333333,0.0,1.0,6.333333333333333,1.0,0.0,0.0,6.666666666666667,6.333333333333333,2.0,3.0,18.0,56.55202517788725,2.069020251778873,1.0345101258894365,3.0
