Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,year,date
0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,7.583333333333333,2.9166666666666665,2.1666666666666665,3.0,21.916666666666668,2010,2010-01-01
0.0,0.0,0.0,1.0833333333333333,0.3333333333333333,0.0,0.0,7.666666666666667,3.5,2.25,2.5,20.25,2011,2011-01-01
0.0,0.0,0.0,2.3333333333333335,1.0833333333333333,0.0,0.0,6.916666666666667,4.833333333333333,2.0,2.9166666666666665,20.083333333333332,2012,2012-01-01
1.25,0.0,0.0,4.083333333333333,1.0,0.0,0.0,6.666666666666667,7.166666666666667,1.9166666666666667,3.0,19.083333333333332,2013,2013-01-01
4.583333333333333,0.0,0.6666666666666666,7.083333333333333,1.0833333333333333,0.0,0.0,6.666666666666667,7.833333333333333,2.0,3.0,18.083333333333332,2014,2014-01-01
6.666666666666667,0.6666666666666666,1.25,8.083333333333334,1.9166666666666667,0.5833333333333334,0.0,6.416666666666667,5.5,2.0,3.0,17.666666666666668,2015,2015-01-01
13.916666666666666,2.0,1.4166666666666667,8.416666666666666,1.5,1.0,0.0,6.25,6.333333333333333,1.9166666666666667,3.0,18.083333333333332,2016,2016-01-01
22.0,3.9166666666666665,3.0,10.166666666666666,2.0,1.25,0.0,6.333333333333333,5.166666666666667,2.0833333333333335,3.0,17.5,2017,2017-01-01
22.583333333333332,11.166666666666666,5.5,13.916666666666666,2.0833333333333335,1.6666666666666667,0.0,6.5,5.416666666666667,2.0,3.0,17.083333333333332,2018,2018-01-01
24.5,25.583333333333332,7.25,16.916666666666668,2.4166666666666665,1.75,0.5833333333333334,6.416666666666667,5.166666666666667,2.0833333333333335,3.0,16.75,2019,2019-01-01
12.083333333333334,38.75,22.333333333333332,19.666666666666668,3.5,1.9166666666666667,0.75,6.666666666666667,5.666666666666667,2.0,3.4166666666666665,15.5,2020,2020-01-01
11.5,44.166666666666664,15.75,16.083333333333332,3.75,1.1666666666666667,1.0,6.25,5.166666666666667,2.0,3.1666666666666665,16.25,2021,2021-01-01
12.583333333333334,45.666666666666664,18.083333333333332,14.0,4.916666666666667,2.8333333333333335,1.0833333333333333,7.0,3.75,2.0833333333333335,3.0,15.166666666666666,2022,2022-01-01
11.75,44.5,16.833333333333332,10.75,4.75,2.75,1.0833333333333333,7.166666666666667,2.6666666666666665,2.0,3.1666666666666665,14.333333333333334,2023,2023-01-01
10.75,43.333333333333336,14.833333333333334,8.25,4.0,2.6666666666666665,1.0,7.083333333333333,2.0,2.0833333333333335,3.0833333333333335,13.833333333333334,2024,2024-01-01
11.666666666666666,48.916666666666664,14.333333333333334,7.0,4.0,2.5,1.0,7.916666666666667,2.0,1.9166666666666667,2.4166666666666665,13.75,2025,2025-01-01
