Uber,Lyft,DoorDash,Instacart,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Nu skin,USANA,Etsy,Shopify,Udemy,date,year,month
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,1.0,1.0,13.0,0.0,0.0,2010-01-31,2010,1
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,1.0,1.0,14.0,0.0,0.0,2010-02-28,2010,2
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,1.0,1.0,14.0,0.0,0.0,2010-03-31,2010,3
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,1.0,13.0,0.0,0.0,2010-04-30,2010,4
2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,1.0,14.0,0.0,0.0,2010-05-31,2010,5
2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,1.0,14.0,0.0,0.0,2010-06-30,2010,6
3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,1.0,14.0,0.0,0.0,2010-07-31,2010,7
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,2.0,16.0,0.0,0.0,2010-08-31,2010,8
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,1.0,16.0,0.0,0.0,2010-09-30,2010,9
2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,1.0,1.0,18.0,0.0,0.0,2010-10-31,2010,10
2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,1.0,20.0,0.0,0.0,2010-11-30,2010,11
2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,22.0,0.0,0.0,2010-12-31,2010,12
2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,1.0,24.0,0.0,0.0,2011-01-31,2011,1
3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,1.0,25.0,0.0,0.0,2011-02-28,2011,2
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,1.0,25.0,0.0,0.0,2011-03-31,2011,3
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,1.0,26.0,0.0,0.0,2011-04-30,2011,4
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,1.0,26.0,0.0,0.0,2011-05-31,2011,5
2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,0.0,1.0,28.0,0.0,0.0,2011-06-30,2011,6
2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,0.0,1.0,29.0,0.0,0.0,2011-07-31,2011,7
2.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,4.0,2.0,0.0,1.0,32.0,0.0,0.0,2011-08-31,2011,8
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,1.0,33.0,0.0,0.0,2011-09-30,2011,9
2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,2.0,0.0,1.0,35.0,0.0,0.0,2011-10-31,2011,10
2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,1.0,38.0,1.0,0.0,2011-11-30,2011,11
2.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,2.0,0.0,1.0,41.0,1.0,0.0,2011-12-31,2011,12
2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,2.0,1.0,1.0,40.0,1.0,0.0,2012-01-31,2012,1
2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,39.0,1.0,0.0,2012-02-29,2012,2
2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,2.0,1.0,1.0,38.0,1.0,0.0,2012-03-31,2012,3
2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,2.0,1.0,1.0,38.0,1.0,0.0,2012-04-30,2012,4
3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,38.0,1.0,0.0,2012-05-31,2012,5
3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,40.0,1.0,0.0,2012-06-30,2012,6
4.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,45.0,1.0,0.0,2012-07-31,2012,7
3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,47.0,1.0,0.0,2012-08-31,2012,8
3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,47.0,1.0,0.0,2012-09-30,2012,9
3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,2.0,1.0,1.0,48.0,1.0,0.0,2012-10-31,2012,10
3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,2.0,1.0,1.0,56.0,1.0,0.0,2012-11-30,2012,11
4.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,1.0,0.0,1.0,60.0,1.0,0.0,2012-12-31,2012,12
4.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,8.0,2.0,1.0,1.0,54.0,1.0,0.0,2013-01-31,2013,1
4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,1.0,1.0,53.0,1.0,0.0,2013-02-28,2013,2
4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,1.0,1.0,53.0,1.0,0.0,2013-03-31,2013,3
4.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,1.0,1.0,54.0,1.0,0.0,2013-04-30,2013,4
5.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,47.0,1.0,0.0,2013-05-31,2013,5
6.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,60.0,1.2,0.0,2013-06-30,2013,6
7.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,50.0,1.0,0.0,2013-07-31,2013,7
7.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,8.0,2.0,1.0,1.0,54.0,1.0,0.0,2013-08-31,2013,8
7.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,52.0,1.0,0.0,2013-09-30,2013,9
9.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,1.0,1.0,49.0,1.0,0.0,2013-10-31,2013,10
9.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,2.0,1.0,1.0,59.0,1.0,0.0,2013-11-30,2013,11
12.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,1.0,1.0,1.0,63.0,1.0,0.0,2013-12-31,2013,12
13.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0,2.0,1.0,1.0,55.0,2.0,1.0,2014-01-31,2014,1
13.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,9.0,2.0,1.0,1.0,52.0,2.0,1.0,2014-02-28,2014,2
14.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,11.0,2.0,1.0,1.0,52.0,2.0,1.0,2014-03-31,2014,3
16.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,10.0,2.0,1.0,1.0,50.0,2.0,1.0,2014-04-30,2014,4
19.0,4.0,0.0,1.0,1.0,0.0,0.0,7.0,9.0,2.0,1.0,1.0,52.0,2.0,1.0,2014-05-31,2014,5
28.0,5.0,0.0,1.0,1.0,0.0,0.0,7.0,8.0,2.0,1.0,1.0,53.0,2.0,1.0,2014-06-30,2014,6
28.0,6.0,0.0,1.0,1.0,0.0,0.0,7.0,9.0,2.0,1.0,1.0,54.0,2.0,1.0,2014-07-31,2014,7
30.0,7.0,0.0,1.0,1.0,0.0,0.0,7.0,6.0,2.0,1.0,1.0,50.0,2.0,1.0,2014-08-31,2014,8
29.0,6.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,54.0,2.0,1.0,2014-09-30,2014,9
32.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,56.774193548387096,2.064516129032258,1.032258064516129,2014-10-31,2014,10
36.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,2.0,0.0,0.0,61.0,2.0,1.0,2014-11-30,2014,11
39.0,4.0,0.0,1.0,1.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,68.76315789473685,2.0526315789473686,1.0263157894736843,2014-12-31,2014,12
34.0,4.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,53.0,2.0,1.0,2015-01-31,2015,1
35.0,6.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,53.52941176470588,2.0588235294117645,1.0294117647058822,2015-02-28,2015,2
41.0,6.0,0.0,1.0,2.0,0.0,0.0,6.0,7.0,2.0,0.0,1.0,52.0,2.0,1.0,2015-03-31,2015,3
48.0,4.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,52.0,2.0,1.0,2015-04-30,2015,4
